text,label
affirmative action remains necessary while minorities are still discriminated against,affirmative action
if someone wishes to die and they are unable to do it it ought to be legal to receive assistance,assisted suicide
pride parades allow people to express themselves,cancel pride parades
naturopathy provides alternative options to mainstream medicine. many types of naturopathy have been used for centuries.,naturopathy
the right to keep and bear arms is in the bill of rights.,the right to keep and bear arms
social media helps families and friends to stay in contact no matter how far apart they are.,social media
social media provides a way for family and friends to stay connected even if they live far away,social media
some foster parents can be abusive to the children,foster care
Zero tolerance stifles young people from expressing themselves and learning from their mistakes.,zero-tolerance policy in schools
guantanamo bay runs on a decree that allows it to hold prisoners without trial. this violates a basic fundamental right and almost certainly means there are prisoners held that are innocent,guantanamo bay detention camp
payday loans should be banned because they are predatory and charge outrageously high interest and fees,payday loans
"surrogacy should be banned because it can cause emotional distress,",surrogacy
"Yes, because it is murder practically and this is considered a crime",assisted suicide
the flag represents our country and the sacrifices so many have made to keep us free. it should be respected.,flag burning
capital punishment must be retained as the ultimate punishment for the most heinous crime. an example needs to be shown to others that this in a consequence of you actions think again.,capital punishment
holocaust denial should be a criminal offense because a lot of people died during that time and making light of the issue or flat out denying facts can muddy history.,holocaust denial
it is possible that this could be used as a murder in some cases.,assisted suicide
missionary work provides valuable help to the poorest in the world,missionary work
watching television leads to a sedentary and unhealthy lifestyle,television
"The three-strikes law gives no room for mitigating factors to be considered, making our justice system a rigid one that does not allow for true justice.",the three-strikes laws
we shouldn't be encouraging minors that cosmetic surgery is the answer to insecurities they have. this can lead to more mental health issues.,cosmetic surgery for minors
compulsory voting would increase voter turnout.,compulsory voting
we should not ban private military companies as people have a right to open any type of businesses to make an income as long as it does not harm others or go against current laws.,private military companies
We should not prohibit flag burning as it is an extension of free speech and people should not be prevented from acting as they feel.,flag burning
we should abandon marriage because it is an old tradition that is no longer necessary. there are so many divorces and marriages that end up negatively impacting children.,marriage
student loans help hard working students go to college.,student loans
missionary work allows religious groups to help foreign populations and promote peaceful and kind behaviors.,missionary work
racial profiling is unfair and unjust,racial profiling
Mandatory retirement contributes to leaving older people feeling directionless after being forced to stop working against their will. This contributes to high rates of depression and other mental illnesses in older populations.,retirement
"the embryos who supply these cells are from aborted babies or babies created in a laboratory just to be used for research, it is wrong to create life just to use it for research.",embryonic stem cell research
Affirmative action demeans the achievements of minority individuals. Success attained through ability and hard work might be viewed by some as simply a result of affirmative action.,affirmative action
whaling provides important income for some cultures.,whaling
people should be able to pray wherever they choose,school prayer
